Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
"-7,848780766","-1,098584824","2,4193874877","-1,667544571","-0,682401225","0,6427081745","-1,915756318"
"-7,495896727","0,2328116035","2,533018409","0,4161347474","-2,085929823","1,6191853803","2,8961953214"
"-5,935839608","2,5199740119","0,9130653416","-0,966685451","0,276355339","-0,017522558","-2,084284692"
"-5,016727074","1,8752488309","0,5174869752","-0,258907478","0,353135115","1,0896206634","1,8840766711"
"1,2425594597","-0,625427939","0,4224411138","-1,507771959","0,9637126933","0,1051937036","0,1344164271"
"1,7095948832","-1,040364567","0,0235526065","-0,404856356","0,3791356056","0,7729678958","0,5026278572"
"1,3098259243","0,5453669953","0,702368346","-2,121695066","1,0689172531","0,9052394491","-1,796278628"
"1,6975826794","1,4139614164","0,2078032988","0,2415058314","-0,900714212","1,3496534264","-1,602007308"
"0,4609155403","0,2851898603","-0,797367979","1,4647423349","-1,010966338","0,8991062887","-1,459991966"
"-0,238478853","-0,099385886","-0,396638308","0,2646298121","-0,268993332","-0,642704495","-0,529735678"
"-0,205809649","-0,600749326","-0,109987983","-0,044191267","-0,143161559","-0,753591733","0,2008194268"
"-0,856729287","10,283648459","-1,229731102","-2,09387353","1,3196904098","-0,344975591","2,5909841409"
"-1,014333607","6,5910349402","-1,284696905","-0,322194301","1,272147199","-0,818425677","-0,055129911"
"-2,0116899","2,1216060534","-0,858488554","0,4368616852","1,9437066115","0,2654092026","0,8808284026"
"-2,563752563","6,9619203224","-2,186919097","2,3715968642","1,4987538754","0,6060786137","-0,946946193"
"4,6422061214","3,1260410438","11,478882981","5,7028996724","1,9350396553","-1,242464039","-0,391775477"
"2,4131685226","-0,277493769","8,1621004576","5,6501895621","6,4062605866","-1,541214732","-0,219930514"
"3,1887475282","7,1800112961","3,8548798892","-4,615007445","-2,914179703","-1,709431335","-1,711836695"
"1,6863244451","4,2585013669","2,5076205456","-0,629232451","-3,649748888","-1,10444062","2,1869415433"
"4,7356292187","3,5792900756","-1,20388808","1,7327473358","-0,466048412","1,6920573263","-1,208577012"
