,ResponseTime,Request Rate,label,mean,Residuo
0,14593.052631578947,3000,L,18126.820698380565,-3533.7680668016183
1,9137.421052631578,3000,L,18126.820698380565,-8989.399645748987
2,23471.5,3000,L,18126.820698380565,5344.679301619435
3,22532.4375,3000,L,18126.820698380565,4405.616801619435
4,20899.69230769231,3000,L,18126.820698380565,2772.8716093117437
5,22249.875,9000,L,16679.28691520468,5570.588084795319
6,17994.052631578947,9000,L,16679.28691520468,1314.765716374266
7,20257.5625,9000,L,16679.28691520468,3578.2755847953194
8,10020.944444444445,9000,L,16679.28691520468,-6658.342470760235
9,12874.0,9000,L,16679.28691520468,-3805.2869152046806
10,40.183023872679044,3000,MH,35.07931820008829,5.103705672590756
11,68.82620922384702,3000,MH,35.07931820008829,33.74689102375873
12,9.770736253494874,3000,MH,35.07931820008829,-25.308581946593414
13,24.0240225314778,3000,MH,35.07931820008829,-11.055295668610487
14,32.59259911894273,3000,MH,35.07931820008829,-2.4867190811455586
15,71.05119384864427,9000,MH,86.60830135380803,-15.557107505163756
16,83.74628450106157,9000,MH,86.60830135380803,-2.8620168527464642
17,55.468167202572346,9000,MH,86.60830135380803,-31.140134151235685
18,133.62799856784818,9000,MH,86.60830135380803,47.01969721404015
19,89.1478626489138,9000,MH,86.60830135380803,2.53956129510577
20,6.689008766014835,3000,ML,7.761880862688739,-1.0728720966739038
21,6.6869183727731984,3000,ML,7.761880862688739,-1.0749624899155403
22,9.128818061088978,3000,ML,7.761880862688739,1.3669371984002394
23,9.044818688034768,3000,ML,7.761880862688739,1.2829378253460293
24,7.259840425531915,3000,ML,7.761880862688739,-0.5020404371568237
25,8.523727068513665,9000,ML,14.976016946681355,-6.45228987816769
26,11.921515118436853,9000,ML,14.976016946681355,-3.0545018282445024
27,19.98756182717486,9000,ML,14.976016946681355,5.011544880493506
28,18.070193709643824,9000,ML,14.976016946681355,3.0941767629624692
29,16.377087009637574,9000,ML,14.976016946681355,1.4010700629562187
30,2.4645805592543275,3000,S,2.5529739773580564,-0.08839341810372892
31,2.433382333288788,3000,S,2.5529739773580564,-0.11959164406926837
32,2.6773718720727953,3000,S,2.5529739773580564,0.12439789471473883
33,2.565775401069519,3000,S,2.5529739773580564,0.012801423711462423
34,2.623759721104854,3000,S,2.5529739773580564,0.07078574374679736
35,2.100569091232438,9000,S,1.9360541927718944,0.1645148984605438
36,1.7475862068965518,9000,S,1.9360541927718944,-0.18846798587534264
37,1.829713370126402,9000,S,1.9360541927718944,-0.1063408226454925
38,2.000667111407605,9000,S,1.9360541927718944,0.0646129186357105
39,2.0017351841964763,9000,S,1.9360541927718944,0.06568099142458195
